class_id,source_name,review_index,source_group,image_path,bbox_yolo,review_status,review_note
0,apple,1,DSC_6148_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/test/images/DSC_6148_JPG_jpg.rf.9eab5803b6408553dd2ab748e6bd83ed.jpg,0 0.61562500 0.45625000 0.17343750 0.06875000,pending,
0,apple,2,DSC_5735_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/train/images/DSC_5735_JPG_jpg.rf.2c7fb1aec915993593bb361e5cf1e410.jpg,0 0.75625000 0.85312500 0.17031250 0.10312500,pending,
0,apple,3,DSC_5804_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/valid/images/DSC_5804_JPG_jpg.rf.1344600ffd9d723bcaa301851159850a.jpg,0 0.39687500 0.44062500 0.15156250 0.05156250,pending,
0,apple,4,DSC_6111_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/test/images/DSC_6111_JPG_jpg.rf.14b842d4ea498376cad1821737d36bc8.jpg,0 0.82187500 0.44843750 0.12187500 0.07968750,pending,
0,apple,5,DSC_5723_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/test/images/DSC_5723_JPG_jpg.rf.5d083eee910b4563b588a690960212ed.jpg,0 0.75625000 0.85625000 0.17656250 0.11093750,pending,
0,apple,6,DSC_6113_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/test/images/DSC_6113_JPG_jpg.rf.db577948b8c4e5f745f263a889f2f8ea.jpg,0 0.82187500 0.44843750 0.12187500 0.07968750,pending,
0,apple,7,DSC_6171_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/valid/images/DSC_6171_JPG_jpg.rf.a26a706607067f0e83061e472bc80cf8.jpg,0 0.81093750 0.59843750 0.18437500 0.07812500,pending,
0,apple,8,DSC_6102_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/valid/images/DSC_6102_JPG_jpg.rf.dbbb0b6b180f988ebc7ac491073425a7.jpg,0 0.64062500 0.44687500 0.13906250 0.06406250,pending,
0,apple,9,DSC_5917_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/test/images/DSC_5917_JPG_jpg.rf.3d075e02330e2a54ad248a47f64f03e5.jpg,0 0.77656250 0.22187500 0.17812500 0.07343750,pending,
0,apple,10,DSC_5743_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/valid/images/DSC_5743_JPG_jpg.rf.f3e0e793c502048110e5c14beddf7c2b.jpg,0 0.55937500 0.44375000 0.16093750 0.08437500,pending,
0,apple,11,DSC_6044_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/test/images/DSC_6044_JPG_jpg.rf.721120482b27e88e65c28eaa129d291a.jpg,0 0.54375000 0.88281250 0.17500000 0.11093750,pending,
0,apple,12,DSC_6110_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/test/images/DSC_6110_JPG_jpg.rf.9a817d729b0dbf7f950626ce4bf4b5c7.jpg,0 0.82187500 0.44843750 0.12187500 0.07968750,pending,
0,apple,13,DSC_6074_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/test/images/DSC_6074_JPG_jpg.rf.068f07af184b6c0db9d6c3e8a5524932.jpg,0 0.40000000 0.43750000 0.08906250 0.06406250,pending,
0,apple,14,DSC_6180_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/valid/images/DSC_6180_JPG_jpg.rf.fde27abb931a0dc49931e13c7df87e8b.jpg,0 0.80312500 0.60312500 0.17968750 0.08281250,pending,
0,apple,15,DSC_5796_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/valid/images/DSC_5796_JPG_jpg.rf.056d9de66018b84ee5893cf1883cc648.jpg,0 0.40937500 0.44375000 0.17343750 0.06718750,pending,
0,apple,16,DSC_6071_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/valid/images/DSC_6071_JPG_jpg.rf.2e45b1f0918efb06b089b360596cebf4.jpg,0 0.79375000 0.45937500 0.09843750 0.05468750,pending,
0,apple,17,DSC_6185_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/valid/images/DSC_6185_JPG_jpg.rf.4be45b208a3f023666252fb55f884c31.jpg,0 0.43906250 0.59375000 0.09062500 0.06250000,pending,
0,apple,18,DSC_5970_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/train/images/DSC_5970_JPG_jpg.rf.07c323fdb693df3ac6c4142fff07894f.jpg,0 0.53125000 0.59687500 0.15937500 0.09687500,pending,
0,apple,19,DSC_5946_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/test/images/DSC_5946_JPG_jpg.rf.4fad40e7fab86d44e2f2fbfedfce6d02.jpg,0 0.63750000 0.20937500 0.19375000 0.06406250,pending,
0,apple,20,DSC_5966_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/test/images/DSC_5966_JPG_jpg.rf.7d03da9150ce1555e9151e5551733c4b.jpg,0 0.39687500 0.59687500 0.17187500 0.07812500,pending,
0,apple,21,DSC_6045_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/test/images/DSC_6045_JPG_jpg.rf.7039783f692829f4499e4546c8940deb.jpg,0 0.35781250 0.90781250 0.10000000 0.06562500,pending,
0,apple,22,DSC_5962_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/train/images/DSC_5962_JPG_jpg.rf.200083b5a79360989e46546abeb728c3.jpg,0 0.39375000 0.59375000 0.18125000 0.07500000,pending,
0,apple,23,DSC_5812_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/valid/images/DSC_5812_JPG_jpg.rf.69e50f44df70bbb3ab3b917a59acd06f.jpg,0 0.51718750 0.87812500 0.17031250 0.09218750,pending,
0,apple,24,DSC_5939_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/train/images/DSC_5939_JPG_jpg.rf.20da52d347bed960a16221138c6fe376.jpg,0 0.40468750 0.45000000 0.18593750 0.07343750,pending,
0,apple,25,DSC_5678_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/valid/images/DSC_5678_JPG_jpg.rf.dd843b0cf3ae173fcf026efedde9ede3.jpg,0 0.35937500 0.21562500 0.16250000 0.06093750,pending,
0,apple,26,DSC_6047_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/test/images/DSC_6047_JPG_jpg.rf.4361d2cc2055b3c69b7bec2f37e17197.jpg,0 0.39843750 0.89218750 0.21093750 0.10937500,pending,
0,apple,27,DSC_6172_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/valid/images/DSC_6172_JPG_jpg.rf.0364c3e78ac67964e45f44382b61b0c6.jpg,0 0.81093750 0.60000000 0.18281250 0.08281250,pending,
0,apple,28,DSC_5984_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/test/images/DSC_5984_JPG_jpg.rf.0233b1a880fab918e40f125f9d1ba70c.jpg,0 0.56875000 0.57812500 0.07968750 0.05312500,pending,
0,apple,29,DSC_5913_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/train/images/DSC_5913_JPG_jpg.rf.2d8b2fa7fbad27fd73fc45827616516b.jpg,0 0.78281250 0.22500000 0.18281250 0.07343750,pending,
0,apple,30,DSC_6174_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/valid/images/DSC_6174_JPG_jpg.rf.6db7b4ef6eee774c385ce32c8fa70fb7.jpg,0 0.81250000 0.60000000 0.17187500 0.08281250,pending,
1,banana,1,DSC_5756_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/test/images/DSC_5756_JPG_jpg.rf.906799f9653a48dbb46da35a94849380.jpg,1 0.77343750 0.22343750 0.19218750 0.06093750,pass,visual_contact_sheet_review_codex_2026-07-16
1,banana,2,DSC_5867_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/train/images/DSC_5867_JPG_jpg.rf.0e9fb208dcda3014264633a51eee10c5.jpg,1 0.79062500 0.87500000 0.17500000 0.10937500,pass,visual_contact_sheet_review_codex_2026-07-16
1,banana,3,DSC_5951_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/test/images/DSC_5951_JPG_jpg.rf.be187b508ed0c0c49dde8ab0d14c4756.jpg,1 0.40000000 0.89062500 0.17812500 0.09687500,pass,visual_contact_sheet_review_codex_2026-07-16
1,banana,4,DSC_5993_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/valid/images/DSC_5993_JPG_jpg.rf.dda1b9c42f3c9bcf12d904edf3ff9535.jpg,1 0.71250000 0.22031250 0.20625000 0.05156250,pass,visual_contact_sheet_review_codex_2026-07-16
1,banana,5,DSC_6064_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/test/images/DSC_6064_JPG_jpg.rf.e573d423086d6729fc7ebb8f9f714750.jpg,1 0.79062500 0.46562500 0.17656250 0.08281250,pass,visual_contact_sheet_review_codex_2026-07-16
1,banana,6,DSC_5949_JPG,/root/autodl-tmp/visagent/datasets/fridge_original_v1/test/images/DSC_5949_JPG_jpg.rf.df3b98e34f077595e792e448054ff0d5.jpg,1 0.41406250 0.42968750 0.13750000 0.10625000,pass,visual_contact_sheet_review_codex_2026-07-16
